zip;county;state;geopoint;timezone
00737;;PR;18.102967,-66.139274;America/Puerto_Rico
00738;FAJARDO MUNICIPIO;PR;18.32265,-65.66116;America/Puerto_Rico
00739;CIDRA MUNICIPIO;PR;18.16984,-66.16271;America/Puerto_Rico
00740;FAJARDO MUNICIPIO;PR;18.331711,-65.62761;America/Puerto_Rico
00741;HUMACAO MUNICIPIO;PR;18.160755,-65.75765;America/Puerto_Rico
00742;;PR;18.264872,-65.594769;America/Puerto_Rico
00744;;PR;18.206329,-65.743058;America/Puerto_Rico
00745;RIO GRANDE MUNICIPIO;PR;18.366213,-65.82277;America/Puerto_Rico
00751;SALINAS MUNICIPIO;PR;17.993803,-66.26534;America/Puerto_Rico
00754;SAN LORENZO MUNICIPIO;PR;18.15633,-65.96831;America/Puerto_Rico
00757;SANTA ISABEL MUNICIPIO;PR;17.98631,-66.39457;America/Puerto_Rico
00765;VIEQUES MUNICIPIO;PR;18.125664,-65.45603;America/Puerto_Rico
00766;VILLALBA MUNICIPIO;PR;18.126023,-66.48208;America/Puerto_Rico
00767;YABUCOA MUNICIPIO;PR;18.072752,-65.89703;America/Puerto_Rico
00769;COAMO MUNICIPIO;PR;18.092813,-66.3611;America/Puerto_Rico
00771;LAS PIEDRAS MUNICIPIO;PR;18.18744,-65.87088;America/Puerto_Rico
00772;LOIZA MUNICIPIO;PR;18.427674,-65.87605;America/Puerto_Rico
00773;LUQUILLO MUNICIPIO;PR;18.361344,-65.72133;America/Puerto_Rico
00775;CULEBRA MUNICIPIO;PR;18.311149,-65.29257;America/Puerto_Rico
00777;JUNCOS MUNICIPIO;PR;18.224088,-65.91316;America/Puerto_Rico
00778;GURABO MUNICIPIO;PR;18.258628,-65.97791;America/Puerto_Rico
00780;PONCE MUNICIPIO;PR;18.068538,-66.55939;America/Puerto_Rico
00782;COMERIO MUNICIPIO;PR;18.223348,-66.2267;America/Puerto_Rico
00783;COROZAL MUNICIPIO;PR;18.304874,-66.32305;America/Puerto_Rico
00784;GUAYAMA MUNICIPIO;PR;17.984137,-66.12779;America/Puerto_Rico
00785;;PR;18.018822,-66.795603;America/Puerto_Rico
00786;AIBONITO MUNICIPIO;PR;18.128092,-66.268717;America/Puerto_Rico
00791;HUMACAO MUNICIPIO;PR;18.147257,-65.82269;America/Puerto_Rico
00792;;PR;18.138029,-65.788499;America/Puerto_Rico
00794;BARRANQUITAS MUNICIPIO;PR;18.204294,-66.31058;America/Puerto_Rico
00795;JUANA DIAZ MUNICIPIO;PR;18.036253,-66.50289;America/Puerto_Rico
00801;;VI;18.322285,-64.963715;America/St_Thomas
00802;;VI;18.322285,-64.963715;America/St_Thomas
00803;;VI;18.322285,-64.963715;America/St_Thomas
00804;;VI;18.322285,-64.963715;America/St_Thomas
00805;;VI;18.322285,-64.963715;America/St_Thomas
00820;;VI;17.734211,-64.734694;America/St_Thomas
00821;;VI;17.734211,-64.734694;America/St_Thomas
00822;;VI;17.734211,-64.734694;America/St_Thomas
00823;;VI;17.734211,-64.734694;America/St_Thomas
00824;;VI;17.734211,-64.734694;America/St_Thomas
